"Subject","Block","Trial","L_choice","R_choice","L_reward","R_reward","Sub_Choose","Frame","NetWorth","RT"
"1","1","1","A","B",36,40,"B","Gain",40,6855
"1","1","2","A","B",36,40,"B","Gain",80,7089
"1","1","3","C","D",-36,-40,"D","Loss",40,5147
"1","1","4","D","C",-40,-36,"D","Loss",0,1531
"1","1","5","D","C",-40,-36,"D","Loss",-40,1859
"1","1","6","A","B",36,40,"A","Gain",-4,1910
"1","1","7","D","C",-40,-36,"D","Loss",-44,2846
"1","1","8","A","B",36,40,"A","Gain",-8,3178
"1","1","9","D","C",-40,-36,"D","Loss",-48,839
"1","1","10","C","D",-36,-40,"C","Loss",-84,1284
"1","1","11","B","A",0,36,"A","Gain",-48,2390
"1","1","12","D","C",-40,-36,"D","Loss",-88,716
"1","1","13","A","D",36,0,"D","Catch",-88,3709
"1","1","14","A","B",36,40,"A","Gain",-52,3646
"1","1","15","B","A",0,36,"A","Gain",-16,2914
"1","1","16","D","B",-40,40,"B","Catch",24,954
"1","1","17","B","A",40,36,"A","Gain",60,882
"1","1","18","B","A",40,36,"B","Gain",100,1060
"1","1","19","A","B",36,40,"B","Gain",140,1687
"1","1","20","C","B",-36,0,"B","Catch",140,1177
"1","1","21","C","A",-36,36,"A","Catch",176,1039
"1","1","22","C","D",-36,-40,"C","Loss",140,2291
"1","1","23","C","D",-36,-40,"D","Loss",100,1438
"1","1","24","D","C",-40,-36,"D","Loss",60,961
"1","1","25","C","D",-36,-40,"C","Loss",24,824
"1","1","26","A","B",36,40,"B","Gain",64,918
"1","1","27","D","C",-40,-36,"C","Loss",28,1190
"1","1","28","D","C",-40,-36,"C","Loss",-8,1468
"1","1","29","B","D",40,-40,"D","Catch",-48,1343
"1","1","30","C","D",-36,-40,"C","Loss",-84,558
"1","1","31","C","D",-36,0,"C","Loss",-120,982
"1","1","32","C","D",-36,0,"D","Loss",-120,836
"1","1","33","C","D",-36,-40,"D","Loss",-160,1392
"1","1","34","D","A",-40,36,"D","Catch",-200,870
"1","1","35","B","A",40,36,"B","Gain",-160,1351
"1","1","36","D","C",-40,-36,"C","Loss",-196,544
"1","1","37","A","C",36,-36,"C","Catch",-232,1023
"1","1","38","D","C",-40,-36,"C","Loss",-268,588
"1","1","39","A","B",36,40,"A","Gain",-232,570
"1","1","40","B","A",40,36,"A","Gain",-196,736
"1","1","41","B","A",40,36,"A","Gain",-160,657
"1","1","42","B","C",40,-36,"C","Catch",-196,580
"1","1","43","D","C",-40,-36,"D","Loss",-236,3322
"1","1","44","A","B",36,40,"A","Gain",-200,1731
"1","1","45","A","B",36,40,"B","Gain",-160,804
"1","1","46","D","B",-40,40,"B","Catch",-120,761
"1","1","47","A","B",36,40,"B","Gain",-80,808
"1","1","48","C","D",-36,-40,"C","Loss",-116,373
"1","1","49","C","D",-36,-40,"D","Loss",-156,1484
"1","1","50","B","A",40,36,"A","Gain",-120,711
"1","1","51","C","A",-36,36,"C","Catch",-156,486
"1","1","52","B","A",40,36,"A","Gain",-120,880
"1","1","53","B","A",40,36,"B","Gain",-80,755
"1","1","54","A","B",36,40,"B","Gain",-40,2043
"1","1","55","C","D",-36,-40,"D","Loss",-80,670
"1","1","56","D","C",-40,-36,"C","Loss",-116,721
"1","1","57","B","A",40,36,"A","Gain",-80,794
"1","1","58","C","B",-36,40,"C","Catch",-116,1279
"1","1","59","D","A",-40,36,"A","Catch",-80,713
"1","1","60","B","A",40,36,"A","Gain",-44,722
"1","2","1","B","C",40,-36,"B","Catch",-4,2161
"1","2","2","D","A",-40,36,"D","Catch",-44,3008
"1","2","3","A","D",36,-40,"D","Catch",-84,693
"1","2","4","A","B",36,40,"B","Gain",-44,582
"1","2","5","C","D",-36,-40,"C","Loss",-80,756
"1","2","6","D","C",-40,-36,"C","Loss",-116,1572
"1","2","7","B","D",40,0,"B","Catch",-76,762
"1","2","8","D","B",-40,40,"B","Catch",-36,698
"1","2","9","C","A",-36,36,"A","Catch",0,2259
"1","2","10","C","D",-36,-40,"C","Loss",-36,726
"1","2","11","C","D",-36,-40,"C","Loss",-72,1142
"1","2","12","B","A",40,36,"B","Gain",-32,1245
"1","2","13","A","B",36,40,"B","Gain",8,665
"1","2","14","C","D",-36,-40,"C","Loss",-28,1196
"1","2","15","C","D",-36,-40,"C","Loss",-64,993
"1","2","16","A","B",36,40,"B","Gain",-24,823
"1","2","17","A","B",36,40,"B","Gain",16,916
"1","2","18","A","B",36,40,"B","Gain",56,789
"1","2","19","D","C",-40,-36,"C","Loss",20,1419
"1","2","20","B","A",0,36,"B","Gain",20,960
"1","2","21","D","C",-40,-36,"C","Loss",-16,2454
"1","2","22","B","A",40,36,"B","Gain",24,873
"1","2","23","B","A",40,36,"B","Gain",64,764
"1","2","24","A","B",36,40,"B","Gain",104,659
"1","2","25","C","D",-36,-40,"C","Loss",68,982
"1","2","26","D","C",-40,-36,"C","Loss",32,1716
"1","2","27","B","A",40,36,"B","Gain",72,1133
"1","2","28","D","C",-40,-36,"C","Loss",36,2821
"1","2","29","C","D",-36,-40,"C","Loss",0,1586
"1","2","30","D","C",-40,-36,"C","Loss",-36,1928
"1","2","31","D","C",-40,-36,"C","Loss",-72,1088
"1","2","32","C","B",-36,0,"B","Catch",-72,1194
"1","2","33","D","C",0,-36,"C","Loss",-108,2560
"1","2","34","A","B",36,40,"B","Gain",-68,1319
"1","2","35","B","A",40,36,"B","Gain",-28,599
"1","2","36","B","A",40,36,"B","Gain",12,948
"1","2","37","D","C",-40,-36,"C","Loss",-24,1548
"1","2","38","C","D",-36,0,"C","Loss",-60,1220
