"Subject","Block","Trial","Object_1","Object_2","Object_3","Reward_1","Reward_2","Reward_3","Action","SetSize","Stim_Count","RT","PreCorrect","Delay"
1,1,1,"AJ","AK","AL",0,1,0,"AL",2,1,0.630057863192633,0,NA
1,1,2,"AJ","AK","AL",0,1,0,"AL",2,2,0.879061069455929,0,NA
1,1,3,"BJ","BK","BL",0,0,1,"BK",2,1,0.310727651114576,0,NA
1,1,4,"AJ","AK","AL",0,1,0,"AL",2,3,0.259215164231136,0,NA
1,1,5,"BJ","BK","BL",0,0,1,"BJ",2,2,0.804455568315461,0,NA
1,1,6,"BJ","BK","BL",0,0,1,"BJ",2,3,0.523138266638853,0,NA
1,1,7,"AJ","AK","AL",0,1,0,"AJ",2,4,1.06942268635612,0,NA
1,1,8,"AJ","AK","AL",0,1,0,"AK",2,5,0.375188581587281,0,NA
1,1,9,"BJ","BK","BL",0,0,1,"BL",2,4,0.564714260341134,0,NA
1,1,10,"BJ","BK","BL",0,0,1,"BL",2,5,0.686390265473165,1,1
1,1,11,"AJ","AK","AL",0,1,0,"AK",2,6,0.415107237175107,1,3
1,1,12,"AJ","AK","AL",0,1,0,"AK",2,7,0.554432930890471,2,1
1,1,13,"BJ","BK","BL",0,0,1,"BL",2,6,0.468767406593543,2,3
1,1,14,"BJ","BK","BL",0,0,1,"BL",2,7,0.563230887055397,3,1
1,1,15,"AJ","AK","AL",0,1,0,"AK",2,8,0.369190089055337,3,3
1,1,16,"BJ","BK","BL",0,0,1,"BL",2,8,0.318995657726191,4,2
1,1,17,"BJ","BK","BL",0,0,1,"BL",2,9,0.679265872808173,5,1
1,1,18,"AJ","AK","AL",0,1,0,"AK",2,9,0.409890381561127,4,3
1,2,1,"AJ","AK","AL",0,1,0,"AK",3,1,0.420444228802808,0,NA
1,2,2,"BJ","BK","BL",0,0,1,"BL",3,1,0.603820890013594,0,NA
1,2,3,"CJ","CK","CL",0,0,1,"CJ",3,1,0.255485476809554,0,NA
1,2,4,"CJ","CK","CL",0,0,1,"CK",3,2,0.378890599065926,0,NA
1,2,5,"BJ","BK","BL",0,0,1,"BL",3,2,0.845151361019816,1,3
1,2,6,"AJ","AK","AL",0,1,0,"AK",3,2,0.359740295505617,1,5
1,2,7,"CJ","CK","CL",0,0,1,"CL",3,3,0.434499081107788,0,NA
1,2,8,"BJ","BK","BL",0,0,1,"BL",3,3,0.556685510731768,2,3
1,2,9,"CJ","CK","CL",0,0,1,"CL",3,4,0.473446748743299,1,2
1,2,10,"BJ","BK","BL",0,0,1,"BL",3,4,0.553331524832174,3,2
1,2,11,"AJ","AK","AL",0,1,0,"AK",3,3,0.540913682896644,2,5
1,2,12,"BJ","BK","BL",0,0,1,"BL",3,5,0.479439793038182,4,2
1,2,13,"AJ","AK","AL",0,1,0,"AK",3,4,0.417191135406028,3,2
1,2,14,"CJ","CK","CL",0,0,1,"CL",3,5,0.551094390277285,2,5
1,2,15,"AJ","AK","AL",0,1,0,"AK",3,5,0.547545162786264,4,2
1,2,16,"CJ","CK","CL",0,0,1,"CL",3,6,0.470854668295942,3,2
1,2,17,"BJ","BK","BL",0,0,1,"BL",3,6,0.853822929901071,5,5
1,2,18,"CJ","CK","CL",0,0,1,"CL",3,7,0.41549105651211,4,2
1,2,19,"AJ","AK","AL",0,1,0,"AK",3,6,0.409797386149876,5,4
1,2,20,"BJ","BK","BL",0,0,1,"BL",3,7,0.563337711675558,6,3
1,2,21,"BJ","BK","BL",0,0,1,"BL",3,8,0.466532986902166,7,1
1,2,22,"AJ","AK","AL",0,1,0,"AK",3,7,0.494318509066943,6,3
1,2,23,"CJ","CK","CL",0,0,1,"CL",3,8,0.381579991022591,5,5
1,2,24,"CJ","CK","CL",0,0,1,"CL",3,9,0.430063994310331,6,1
1,2,25,"BJ","BK","BL",0,0,1,"BL",3,9,0.378040745446924,8,4
1,2,26,"AJ","AK","AL",0,1,0,"AK",3,8,0.500397757568862,7,4
1,2,27,"AJ","AK","AL",0,1,0,"AK",3,9,0.360392080387101,8,1
1,3,1,"AJ","AK","AL",1,0,0,"AL",2,1,0.611001289973501,0,NA
1,3,2,"AJ","AK","AL",1,0,0,"AK",2,2,0.341052320902236,0,NA
1,3,3,"BJ","BK","BL",1,0,0,"BK",2,1,0.742891750414856,0,NA
1,3,4,"BJ","BK","BL",1,0,0,"BL",2,2,0.461679968459066,0,NA
1,3,5,"AJ","AK","AL",1,0,0,"AJ",2,3,0.333576916134916,0,NA
1,3,6,"AJ","AK","AL",1,0,0,"AJ",2,4,0.569818257703446,1,1
1,3,7,"BJ","BK","BL",1,0,0,"BJ",2,3,0.462147682614159,0,NA
1,3,8,"AJ","AK","AL",1,0,0,"AJ",2,5,0.381143497826997,2,2
1,3,9,"AJ","AK","AL",1,0,0,"AJ",2,6,0.312230849580374,3,1
1,3,10,"BJ","BK","BL",1,0,0,"BJ",2,4,0.23022681864677,1,3
1,3,11,"BJ","BK","BL",1,0,0,"BJ",2,5,0.167920541483909,2,1
